ORDER_ID,ORDER_DATE,CUSTOMER_ID,PRODUCT_ID,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,LINE_REVENUE
O0014,2026-01-01,C011,P013,Backpack,Fashion,4,450.08,1800.32
O0043,2026-01-01,C018,P002,Wireless Earbuds,Electronics,3,585.66,1756.98
O0069,2026-01-01,C003,P014,Sunglasses,Fashion,5,655.85,3279.25
O0030,2026-01-03,C049,P003,Power Bank,Electronics,4,357.65,1430.60
O0036,2026-01-03,C040,P017,Moisturizer,Beauty,5,683.94,3419.70
O0138,2026-01-04,C042,P011,Sneakers,Fashion,4,155.49,621.96
O0049,2026-01-11,C028,P005,Smart Watch,Electronics,3,103.56,310.68
O0086,2026-01-12,C010,P001,Bluetooth Speaker,Electronics,2,1087.57,2175.14
O0123,2026-01-14,C048,P018,Perfume,Beauty,3,890.15,2670.45
O0019,2026-01-15,C004,P011,Sneakers,Fashion,1,155.49,155.49
O0105,2026-01-17,C046,P007,Throw Blanket,Home,4,739.05,2956.20
O0022,2026-01-18,C006,P006,Coffee Mug,Home,5,700.39,3501.95
O0137,2026-01-18,C028,P012,Denim Jacket,Fashion,5,115.18,575.90
O0101,2026-01-20,C018,P015,Cap,Fashion,3,391.89,1175.67
O0133,2026-01-20,C026,P007,Throw Blanket,Home,5,739.05,3695.25
O0025,2026-01-21,C003,P020,Face Mask,Beauty,4,725.36,2901.44
O0042,2026-01-24,C017,P002,Wireless Earbuds,Electronics,4,585.66,2342.64
O0002,2026-01-25,C013,P004,USB-C Cable,Electronics,4,151.71,606.84
O0031,2026-01-26,C040,P019,Lip Balm,Beauty,1,1068.27,1068.27
O0134,2026-01-27,C045,P008,Desk Lamp,Home,3,88.05,264.15
O0065,2026-01-28,C017,P002,Wireless Earbuds,Electronics,5,585.66,2928.30
O0046,2026-01-29,C036,P001,Bluetooth Speaker,Electronics,1,1087.57,1087.57
O0094,2026-02-04,C008,P015,Cap,Fashion,4,391.89,1567.56
O0118,2026-02-04,C006,P014,Sunglasses,Fashion,4,655.85,2623.40
O0007,2026-02-05,C035,P015,Cap,Fashion,4,391.89,1567.56
O0103,2026-02-05,C035,P003,Power Bank,Electronics,2,357.65,715.30
O0039,2026-02-09,C048,P018,Perfume,Beauty,3,890.15,2670.45
O0129,2026-02-12,C050,P012,Denim Jacket,Fashion,5,115.18,575.90
O0064,2026-02-15,C008,P009,Storage Box,Home,5,872.78,4363.90
O0148,2026-02-16,C032,P011,Sneakers,Fashion,4,155.49,621.96
O0068,2026-02-18,C025,P019,Lip Balm,Beauty,3,1068.27,3204.81
O0006,2026-02-19,C007,P008,Desk Lamp,Home,2,88.05,176.10
O0075,2026-02-19,C036,P005,Smart Watch,Electronics,4,103.56,414.24
O0058,2026-02-21,C031,P008,Desk Lamp,Home,4,88.05,352.20
O0027,2026-02-22,C021,P009,Storage Box,Home,3,872.78,2618.34
O0107,2026-02-22,C027,P002,Wireless Earbuds,Electronics,4,585.66,2342.64
O0040,2026-02-23,C019,P020,Face Mask,Beauty,3,725.36,2176.08
O0085,2026-02-27,C044,P010,Kitchen Scale,Home,2,145.94,291.88
O0119,2026-03-08,C012,P002,Wireless Earbuds,Electronics,4,585.66,2342.64
O0056,2026-03-10,C027,P008,Desk Lamp,Home,2,88.05,176.10
O0144,2026-03-10,C047,P019,Lip Balm,Beauty,3,1068.27,3204.81
O0061,2026-03-13,C026,P011,Sneakers,Fashion,1,155.49,155.49
O0121,2026-03-13,C022,P013,Backpack,Fashion,4,450.08,1800.32
O0145,2026-03-13,C016,P003,Power Bank,Electronics,4,357.65,1430.60
O0034,2026-03-14,C016,P012,Denim Jacket,Fashion,2,115.18,230.36
O0015,2026-03-15,C017,P015,Cap,Fashion,4,391.89,1567.56
O0017,2026-03-17,C010,P007,Throw Blanket,Home,2,739.05,1478.10
O0110,2026-03-18,C001,P012,Denim Jacket,Fashion,4,115.18,460.72
O0077,2026-03-19,C040,P019,Lip Balm,Beauty,4,1068.27,4273.08
O0078,2026-03-19,C036,P001,Bluetooth Speaker,Electronics,3,1087.57,3262.71
O0063,2026-03-26,C026,P018,Perfume,Beauty,1,890.15,890.15
O0102,2026-03-27,C016,P009,Storage Box,Home,3,872.78,2618.34
O0147,2026-03-28,C043,P013,Backpack,Fashion,1,450.08,450.08
O0136,2026-03-30,C037,P002,Wireless Earbuds,Electronics,5,585.66,2928.30
O0062,2026-03-31,C050,P009,Storage Box,Home,5,872.78,4363.90
O0070,2026-04-04,C035,P007,Throw Blanket,Home,4,739.05,2956.20
O0057,2026-04-08,C045,P004,USB-C Cable,Electronics,1,151.71,151.71
O0109,2026-04-08,C049,P019,Lip Balm,Beauty,4,1068.27,4273.08
O0028,2026-04-12,C016,P009,Storage Box,Home,2,872.78,1745.56
O0023,2026-04-14,C005,P008,Desk Lamp,Home,1,88.05,88.05
O0003,2026-04-16,C023,P014,Sunglasses,Fashion,4,655.85,2623.40
O0139,2026-04-21,C032,P004,USB-C Cable,Electronics,3,151.71,455.13
